NEW YORK CITY DEPARTMENT OF FINANCE,,,,,,
"Sales of 1, 2, and 3 Family Homes in Brooklyn in 2014",,,,,,
,,,,,,
NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
BROWNSVILLE              ,01 ONE FAMILY HOMES     ,22," $227,250 "," $283,039 "," $289,000 "," $327,000 "
BROWNSVILLE              ,02 TWO FAMILY HOMES     ,36," $230,000 "," $417,825 "," $428,710 "," $650,000 "
BROWNSVILLE              ,03 THREE FAMILY HOMES   ,18," $249,000 "," $403,932 "," $360,000 "," $650,000 "
BUSH TERMINAL            ,01 ONE FAMILY HOMES     ,2," $530,000 "," $555,000 "," $555,000 "," $580,000 "
BUSH TERMINAL            ,02 TWO FAMILY HOMES     ,8," $255,000 "," $634,750 "," $667,000 "," $950,000 "
BUSH TERMINAL            ,03 THREE FAMILY HOMES   ,3," $350,000 "," $415,000 "," $400,000 "," $495,000 "
BUSHWICK                 ,01 ONE FAMILY HOMES     ,20," $240,000 "," $585,794 "," $582,500 "," $990,000 "
BUSHWICK                 ,02 TWO FAMILY HOMES     ,249," $200,000 "," $591,467 "," $525,000 "," $4,050,000 "
BUSHWICK                 ,03 THREE FAMILY HOMES   ,114," $200,000 "," $704,907 "," $675,000 "," $2,450,000 "
CANARSIE                 ,01 ONE FAMILY HOMES     ,72," $200,000 "," $368,208 "," $372,500 "," $520,000 "
CANARSIE                 ,02 TWO FAMILY HOMES     ,221," $200,000 "," $434,322 "," $450,000 "," $716,000 "
CANARSIE                 ,03 THREE FAMILY HOMES   ,35," $210,500 "," $489,916 "," $530,000 "," $650,000 "
CARROLL GARDENS          ,01 ONE FAMILY HOMES     ,11," $963,000 "," $3,406,287 "," $3,400,000 "," $7,000,000 "
CARROLL GARDENS          ,02 TWO FAMILY HOMES     ,20," $550,000 "," $2,590,299 "," $2,627,500 "," $3,792,981 "
CARROLL GARDENS          ,03 THREE FAMILY HOMES   ,14," $748,000 "," $2,066,929 "," $1,975,000 "," $3,300,000 "
CLINTON HILL             ,01 ONE FAMILY HOMES     ,7," $750,000 "," $2,008,480 "," $1,500,000 "," $4,600,000 "
CLINTON HILL             ,02 TWO FAMILY HOMES     ,31," $200,000 "," $2,043,900 "," $1,830,000 "," $6,500,000 "
CLINTON HILL             ,03 THREE FAMILY HOMES   ,13," $940,000 "," $1,936,581 "," $2,000,000 "," $2,920,000 "
COBBLE HILL              ,01 ONE FAMILY HOMES     ,4," $300,000 "," $2,837,500 "," $3,250,000 "," $4,550,000 "
COBBLE HILL              ,02 TWO FAMILY HOMES     ,3," $1,250,000 "," $2,358,333 "," $2,225,000 "," $3,600,000 "
COBBLE HILL              ,03 THREE FAMILY HOMES   ,7," $1,500,000 "," $2,922,143 "," $2,335,000 "," $4,500,000 "
COBBLE HILL-WEST         ,02 TWO FAMILY HOMES     ,3," $1,150,000 "," $1,388,333 "," $1,250,000 "," $1,765,000 "
COBBLE HILL-WEST         ,03 THREE FAMILY HOMES   ,7," $1,100,000 "," $1,538,143 "," $1,475,000 "," $2,207,000 "
CONEY ISLAND             ,01 ONE FAMILY HOMES     ,24," $225,000 "," $353,313 "," $366,500 "," $460,000 "
CONEY ISLAND             ,02 TWO FAMILY HOMES     ,1," $476,000 "," $476,000 "," $476,000 "," $476,000 "
CONEY ISLAND             ,03 THREE FAMILY HOMES   ,3," $295,000 "," $530,833 "," $635,000 "," $662,500 "
CROWN HEIGHTS            ,01 ONE FAMILY HOMES     ,51," $200,000 "," $806,882 "," $750,000 "," $1,895,000 "
CROWN HEIGHTS            ,02 TWO FAMILY HOMES     ,164," $200,000 "," $788,192 "," $671,500 "," $5,942,670 "
CROWN HEIGHTS            ,03 THREE FAMILY HOMES   ,48," $205,000 "," $912,276 "," $867,500 "," $1,950,000 "
CYPRESS HILLS            ,01 ONE FAMILY HOMES     ,33," $205,000 "," $345,096 "," $350,000 "," $585,000 "
CYPRESS HILLS            ,02 TWO FAMILY HOMES     ,97," $210,000 "," $448,283 "," $451,500 "," $680,000 "
CYPRESS HILLS            ,03 THREE FAMILY HOMES   ,32," $210,000 "," $424,753 "," $421,750 "," $770,000 "
DOWNTOWN-FULTON FERRY    ,01 ONE FAMILY HOMES     ,1," $1,780,000 "," $1,780,000 "," $1,780,000 "," $1,780,000 "
DOWNTOWN-FULTON FERRY    ,03 THREE FAMILY HOMES   ,2," $975,000 "," $982,000 "," $982,000 "," $989,000 "
DOWNTOWN-FULTON MALL     ,01 ONE FAMILY HOMES     ,7," $3,350,000 "," $4,077,753 "," $3,650,850 "," $6,496,800 "
DOWNTOWN-FULTON MALL     ,02 TWO FAMILY HOMES     ,1," $650,000 "," $650,000 "," $650,000 "," $650,000 "
DOWNTOWN-METROTECH       ,03 THREE FAMILY HOMES   ,1," $1,585,000 "," $1,585,000 "," $1,585,000 "," $1,585,000 "
DYKER HEIGHTS            ,01 ONE FAMILY HOMES     ,73," $300,000 "," $736,858 "," $730,000 "," $1,280,000 "
DYKER HEIGHTS            ,02 TWO FAMILY HOMES     ,67," $235,000 "," $838,464 "," $890,000 "," $1,350,000 "
DYKER HEIGHTS            ,03 THREE FAMILY HOMES   ,23," $440,268 "," $900,412 "," $950,000 "," $1,300,000 "
EAST NEW YORK            ,01 ONE FAMILY HOMES     ,49," $200,000 "," $333,122 "," $332,000 "," $567,000 "
EAST NEW YORK            ,02 TWO FAMILY HOMES     ,209," $200,000 "," $413,787 "," $425,000 "," $746,000 "
EAST NEW YORK            ,03 THREE FAMILY HOMES   ,99," $200,000 "," $411,193 "," $400,000 "," $1,013,832 "
FLATBUSH-CENTRAL         ,01 ONE FAMILY HOMES     ,64," $200,000 "," $1,039,345 "," $984,250 "," $2,700,000 "
FLATBUSH-CENTRAL         ,02 TWO FAMILY HOMES     ,86," $200,000 "," $729,973 "," $630,500 "," $2,025,000 "
FLATBUSH-CENTRAL         ,03 THREE FAMILY HOMES   ,29," $207,000 "," $603,076 "," $550,000 "," $1,750,000 "
FLATBUSH-EAST            ,01 ONE FAMILY HOMES     ,137," $200,000 "," $464,505 "," $393,000 "," $5,640,000 "
FLATBUSH-EAST            ,02 TWO FAMILY HOMES     ,121," $203,500 "," $469,040 "," $459,000 "," $1,105,000 "
FLATBUSH-EAST            ,03 THREE FAMILY HOMES   ,26," $225,000 "," $475,040 "," $502,200 "," $699,000 "
FLATBUSH-LEFFERTS GARDEN ,01 ONE FAMILY HOMES     ,45," $200,000 "," $1,205,556 "," $1,205,000 "," $2,400,000 "
FLATBUSH-LEFFERTS GARDEN ,02 TWO FAMILY HOMES     ,28," $200,000 "," $909,929 "," $754,500 "," $2,000,000 "
FLATBUSH-LEFFERTS GARDEN ,03 THREE FAMILY HOMES   ,5," $575,000 "," $1,031,000 "," $1,100,000 "," $1,500,000 "
FLATBUSH-NORTH           ,01 ONE FAMILY HOMES     ,30," $205,000 "," $413,833 "," $387,500 "," $900,000 "
FLATBUSH-NORTH           ,02 TWO FAMILY HOMES     ,67," $217,000 "," $460,718 "," $404,000 "," $1,250,000 "
FLATBUSH-NORTH           ,03 THREE FAMILY HOMES   ,19," $327,000 "," $534,727 "," $505,000 "," $795,000 "
FLATLANDS                ,01 ONE FAMILY HOMES     ,32," $250,000 "," $394,625 "," $388,000 "," $570,000 "
FLATLANDS                ,02 TWO FAMILY HOMES     ,49," $230,000 "," $470,095 "," $480,000 "," $630,000 "
FLATLANDS                ,03 THREE FAMILY HOMES   ,5," $360,000 "," $593,000 "," $640,000 "," $665,000 "
FORT GREENE              ,01 ONE FAMILY HOMES     ,6," $499,000 "," $2,738,167 "," $3,077,500 "," $3,750,000 "
FORT GREENE              ,02 TWO FAMILY HOMES     ,17," $1,800,000 "," $2,689,235 "," $2,600,000 "," $3,500,000 "
FORT GREENE              ,03 THREE FAMILY HOMES   ,15," $235,000 "," $1,534,067 "," $1,610,000 "," $2,495,000 "
GERRITSEN BEACH          ,01 ONE FAMILY HOMES     ,56," $203,500 "," $344,390 "," $350,000 "," $500,000 "
GERRITSEN BEACH          ,02 TWO FAMILY HOMES     ,5," $232,500 "," $474,500 "," $505,000 "," $620,000 "
GOWANUS                  ,01 ONE FAMILY HOMES     ,3," $325,000 "," $1,391,333 "," $1,200,000 "," $2,649,000 "
GOWANUS                  ,02 TWO FAMILY HOMES     ,22," $425,000 "," $2,411,743 "," $1,490,000 "," $20,000,000 "
GOWANUS                  ,03 THREE FAMILY HOMES   ,14," $301,650 "," $1,383,575 "," $1,400,000 "," $3,100,000 "
GRAVESEND                ,01 ONE FAMILY HOMES     ,59," $230,000 "," $612,408 "," $639,000 "," $1,300,000 "
GRAVESEND                ,02 TWO FAMILY HOMES     ,132," $200,000 "," $733,246 "," $729,000 "," $1,230,000 "
GRAVESEND                ,03 THREE FAMILY HOMES   ,52," $280,000 "," $919,625 "," $950,000 "," $1,280,000 "
GREENPOINT               ,01 ONE FAMILY HOMES     ,3," $995,000 "," $1,215,000 "," $1,150,000 "," $1,500,000 "
GREENPOINT               ,02 TWO FAMILY HOMES     ,30," $480,000 "," $1,377,185 "," $1,275,000 "," $2,700,000 "
GREENPOINT               ,03 THREE FAMILY HOMES   ,19," $765,000 "," $1,577,516 "," $1,600,000 "," $2,300,000 "
KENSINGTON               ,01 ONE FAMILY HOMES     ,8," $233,599 "," $799,675 "," $689,000 "," $1,612,814 "
KENSINGTON               ,02 TWO FAMILY HOMES     ,13," $275,000 "," $888,532 "," $910,000 "," $1,286,000 "
KENSINGTON               ,03 THREE FAMILY HOMES   ,6," $487,200 "," $902,700 "," $945,000 "," $1,200,000 "
MADISON                  ,01 ONE FAMILY HOMES     ,79," $215,232 "," $733,847 "," $660,000 "," $1,900,000 "
MADISON                  ,02 TWO FAMILY HOMES     ,53," $200,000 "," $739,214 "," $670,000 "," $1,516,000 "
MADISON                  ,03 THREE FAMILY HOMES   ,4," $800,000 "," $877,250 "," $864,500 "," $980,000 "
MANHATTAN BEACH          ,01 ONE FAMILY HOMES     ,41," $380,000 "," $1,325,257 "," $1,070,000 "," $7,750,000 "
MANHATTAN BEACH          ,02 TWO FAMILY HOMES     ,8," $730,000 "," $1,397,500 "," $1,200,000 "," $2,500,000 "
MARINE PARK              ,01 ONE FAMILY HOMES     ,123," $200,000 "," $505,574 "," $499,500 "," $885,000 "
MARINE PARK              ,02 TWO FAMILY HOMES     ,42," $280,000 "," $599,310 "," $605,000 "," $780,000 "
MARINE PARK              ,03 THREE FAMILY HOMES   ,2," $428,000 "," $544,000 "," $544,000 "," $660,000 "
MIDWOOD                  ,01 ONE FAMILY HOMES     ,94," $238,942 "," $827,687 "," $738,000 "," $2,240,150 "
MIDWOOD                  ,02 TWO FAMILY HOMES     ,57," $225,000 "," $816,896 "," $775,000 "," $1,825,000 "
MIDWOOD                  ,03 THREE FAMILY HOMES   ,10," $250,000 "," $879,400 "," $847,500 "," $1,650,000 "
MILL BASIN               ,01 ONE FAMILY HOMES     ,49," $227,474 "," $826,239 "," $800,000 "," $1,900,000 "
MILL BASIN               ,02 TWO FAMILY HOMES     ,31," $450,000 "," $737,452 "," $705,000 "," $1,600,000 "
NAVY YARD                ,01 ONE FAMILY HOMES     ,1," $360,000 "," $360,000 "," $360,000 "," $360,000 "
NAVY YARD                ,02 TWO FAMILY HOMES     ,3," $350,000 "," $720,000 "," $900,000 "," $910,000 "
NAVY YARD                ,03 THREE FAMILY HOMES   ,1," $675,000 "," $675,000 "," $675,000 "," $675,000 "
OCEAN HILL               ,01 ONE FAMILY HOMES     ,14," $240,000 "," $566,107 "," $417,500 "," $1,280,000 "
OCEAN HILL               ,02 TWO FAMILY HOMES     ,149," $200,000 "," $548,826 "," $499,000 "," $1,325,000 "
OCEAN HILL               ,03 THREE FAMILY HOMES   ,88," $200,000 "," $568,732 "," $507,500 "," $2,094,750 "
OCEAN PARKWAY-NORTH      ,01 ONE FAMILY HOMES     ,70," $200,000 "," $980,685 "," $776,000 "," $4,900,000 "
OCEAN PARKWAY-NORTH      ,02 TWO FAMILY HOMES     ,57," $300,000 "," $980,500 "," $860,000 "," $3,500,000 "
OCEAN PARKWAY-NORTH      ,03 THREE FAMILY HOMES   ,12," $575,000 "," $1,147,833 "," $1,075,000 "," $2,450,000 "
OCEAN PARKWAY-SOUTH      ,01 ONE FAMILY HOMES     ,31," $375,000 "," $1,637,661 "," $875,000 "," $4,400,000 "
OCEAN PARKWAY-SOUTH      ,02 TWO FAMILY HOMES     ,53," $308,000 "," $943,104 "," $675,000 "," $4,200,000 "
OCEAN PARKWAY-SOUTH      ,03 THREE FAMILY HOMES   ,21," $200,000 "," $828,633 "," $825,000 "," $1,150,000 "
OLD MILL BASIN           ,01 ONE FAMILY HOMES     ,57," $219,000 "," $397,361 "," $412,000 "," $545,000 "
OLD MILL BASIN           ,02 TWO FAMILY HOMES     ,34," $250,000 "," $484,959 "," $469,275 "," $720,000 "
OLD MILL BASIN           ,03 THREE FAMILY HOMES   ,2," $587,500 "," $587,500 "," $587,500 "," $587,500 "
PARK SLOPE               ,01 ONE FAMILY HOMES     ,13," $805,000 "," $3,275,269 "," $2,887,500 "," $10,775,000 "
PARK SLOPE               ,02 TWO FAMILY HOMES     ,43," $551,921 "," $2,706,239 "," $2,583,750 "," $4,850,000 "
PARK SLOPE               ,03 THREE FAMILY HOMES   ,34," $925,536 "," $2,569,167 "," $2,461,250 "," $5,380,336 "
PARK SLOPE SOUTH         ,01 ONE FAMILY HOMES     ,11," $594,000 "," $1,294,182 "," $1,275,000 "," $2,210,000 "
PARK SLOPE SOUTH         ,02 TWO FAMILY HOMES     ,35," $281,250 "," $1,731,772 "," $1,675,000 "," $3,035,000 "
PARK SLOPE SOUTH         ,03 THREE FAMILY HOMES   ,14," $250,000 "," $1,760,000 "," $2,087,500 "," $2,525,000 "
PROSPECT HEIGHTS         ,01 ONE FAMILY HOMES     ,2," $300,000 "," $1,620,500 "," $1,620,500 "," $2,941,000 "
PROSPECT HEIGHTS         ,02 TWO FAMILY HOMES     ,17," $975,000 "," $2,215,639 "," $2,085,000 "," $3,500,000 "
PROSPECT HEIGHTS         ,03 THREE FAMILY HOMES   ,8," $400,000 "," $1,754,250 "," $1,857,000 "," $2,710,000 "
RED HOOK                 ,01 ONE FAMILY HOMES     ,1," $660,000 "," $660,000 "," $660,000 "," $660,000 "
RED HOOK                 ,02 TWO FAMILY HOMES     ,15," $550,000 "," $1,123,152 "," $1,200,000 "," $1,850,000 "
RED HOOK                 ,03 THREE FAMILY HOMES   ,4," $610,000 "," $1,216,250 "," $1,252,500 "," $1,750,000 "
SEAGATE                  ,01 ONE FAMILY HOMES     ,12," $350,000 "," $648,750 "," $525,000 "," $1,400,000 "
SEAGATE                  ,02 TWO FAMILY HOMES     ,17," $200,000 "," $531,477 "," $450,000 "," $1,450,000 "
SEAGATE                  ,03 THREE FAMILY HOMES   ,4," $460,000 "," $662,500 "," $615,000 "," $960,000 "
SHEEPSHEAD BAY           ,01 ONE FAMILY HOMES     ,80," $224,173 "," $514,587 "," $516,500 "," $870,000 "
SHEEPSHEAD BAY           ,02 TWO FAMILY HOMES     ,126," $225,000 "," $636,356 "," $639,500 "," $1,300,000 "
SHEEPSHEAD BAY           ,03 THREE FAMILY HOMES   ,11," $320,000 "," $730,221 "," $725,000 "," $950,000 "
SPRING CREEK             ,01 ONE FAMILY HOMES     ,3," $325,000 "," $410,743 "," $355,663 "," $551,567 "
SUNSET PARK              ,01 ONE FAMILY HOMES     ,14," $250,000 "," $1,001,000 "," $970,000 "," $1,816,000 "
SUNSET PARK              ,02 TWO FAMILY HOMES     ,155," $275,000 "," $906,822 "," $910,000 "," $2,200,000 "
SUNSET PARK              ,03 THREE FAMILY HOMES   ,33," $320,000 "," $853,806 "," $950,000 "," $1,510,000 "
WILLIAMSBURG-CENTRAL     ,01 ONE FAMILY HOMES     ,3," $320,000 "," $1,408,333 "," $700,000 "," $3,205,000 "
WILLIAMSBURG-CENTRAL     ,02 TWO FAMILY HOMES     ,4," $600,000 "," $962,500 "," $925,000 "," $1,400,000 "
WILLIAMSBURG-CENTRAL     ,03 THREE FAMILY HOMES   ,7," $360,000 "," $661,958 "," $560,037 "," $967,000 "
WILLIAMSBURG-EAST        ,01 ONE FAMILY HOMES     ,12," $430,000 "," $1,165,000 "," $1,020,000 "," $2,300,000 "
WILLIAMSBURG-EAST        ,02 TWO FAMILY HOMES     ,28," $325,000 "," $1,257,519 "," $1,256,000 "," $2,315,000 "
WILLIAMSBURG-EAST        ,03 THREE FAMILY HOMES   ,9," $413,480 "," $1,045,942 "," $1,100,000 "," $1,545,000 "
WILLIAMSBURG-NORTH       ,01 ONE FAMILY HOMES     ,2," $2,500,000 "," $2,850,000 "," $2,850,000 "," $3,200,000 "
WILLIAMSBURG-NORTH       ,02 TWO FAMILY HOMES     ,8," $200,000 "," $1,535,156 "," $1,530,000 "," $2,950,000 "
WILLIAMSBURG-NORTH       ,03 THREE FAMILY HOMES   ,8," $612,500 "," $2,067,813 "," $2,137,500 "," $3,325,000 "
WILLIAMSBURG-SOUTH       ,02 TWO FAMILY HOMES     ,13," $400,000 "," $1,078,462 "," $865,000 "," $3,500,000 "
WILLIAMSBURG-SOUTH       ,03 THREE FAMILY HOMES   ,3," $1,240,000 "," $1,713,333 "," $1,600,000 "," $2,300,000 "
WINDSOR TERRACE          ,01 ONE FAMILY HOMES     ,8," $675,000 "," $1,028,625 "," $1,002,000 "," $1,470,000 "
WINDSOR TERRACE          ,02 TWO FAMILY HOMES     ,39," $315,000 "," $1,296,289 "," $1,200,000 "," $2,350,000 "
WINDSOR TERRACE          ,03 THREE FAMILY HOMES   ,6," $1,075,000 "," $1,632,500 "," $1,507,500 "," $2,425,000 "
WYCKOFF HEIGHTS          ,01 ONE FAMILY HOMES     ,3," $572,500 "," $631,667 "," $612,500 "," $710,000 "
WYCKOFF HEIGHTS          ,02 TWO FAMILY HOMES     ,24," $235,000 "," $550,777 "," $534,188 "," $1,250,000 "
WYCKOFF HEIGHTS          ,03 THREE FAMILY HOMES   ,10," $350,000 "," $703,300 "," $707,500 "," $999,000 "
