NEW YORK CITY DEPARTMENT OF FINANCE,,,,,,
"Sales of 1, 2, and 3 Family Homes in Brooklyn in 2013",,,,,,
,,,,,,
NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
DYKER HEIGHTS            ,02 TWO FAMILY HOMES     ,82,"$200,000 ","$808,709 ","$790,000 ","$1,745,000 "
DYKER HEIGHTS            ,03 THREE FAMILY HOMES   ,21,"$438,000 ","$790,285 ","$839,900 ","$1,230,000 "
EAST NEW YORK            ,01 ONE FAMILY HOMES     ,44,"$206,180 ","$310,434 ","$319,000 ","$465,000 "
EAST NEW YORK            ,02 TWO FAMILY HOMES     ,200,"$200,000 ","$372,630 ","$385,770 ","$595,525 "
EAST NEW YORK            ,03 THREE FAMILY HOMES   ,85,"$200,000 ","$512,248 ","$425,000 ","$4,121,811 "
FLATBUSH-CENTRAL         ,01 ONE FAMILY HOMES     ,59,"$200,000 ","$956,216 ","$942,500 ","$2,200,000 "
FLATBUSH-CENTRAL         ,02 TWO FAMILY HOMES     ,55,"$205,000 ","$670,575 ","$525,000 ","$3,100,000 "
FLATBUSH-CENTRAL         ,03 THREE FAMILY HOMES   ,11,"$225,000 ","$611,319 ","$561,000 ","$1,478,000 "
FLATBUSH-EAST            ,01 ONE FAMILY HOMES     ,150,"$200,000 ","$391,851 ","$370,000 ","$850,000 "
FLATBUSH-EAST            ,02 TWO FAMILY HOMES     ,112,"$200,000 ","$449,212 ","$445,000 ","$750,000 "
FLATBUSH-EAST            ,03 THREE FAMILY HOMES   ,26,"$230,000 ","$469,396 ","$482,500 ","$838,500 "
FLATBUSH-LEFFERTS GARDEN ,01 ONE FAMILY HOMES     ,21,"$350,000 ","$961,655 ","$900,000 ","$1,825,000 "
FLATBUSH-LEFFERTS GARDEN ,02 TWO FAMILY HOMES     ,19,"$340,000 ","$858,684 ","$775,000 ","$3,650,000 "
FLATBUSH-LEFFERTS GARDEN ,03 THREE FAMILY HOMES   ,20,"$270,000 ","$748,937 ","$731,500 ","$1,300,000 "
FLATBUSH-NORTH           ,01 ONE FAMILY HOMES     ,18,"$230,000 ","$353,587 ","$370,000 ","$511,000 "
FLATBUSH-NORTH           ,02 TWO FAMILY HOMES     ,49,"$200,000 ","$414,493 ","$375,000 ","$1,867,440 "
FLATBUSH-NORTH           ,03 THREE FAMILY HOMES   ,13,"$260,000 ","$478,385 ","$504,000 ","$642,500 "
FLATLANDS                ,01 ONE FAMILY HOMES     ,35,"$200,000 ","$376,016 ","$375,000 ","$540,000 "
FLATLANDS                ,02 TWO FAMILY HOMES     ,31,"$207,000 ","$422,425 ","$445,000 ","$575,000 "
FLATLANDS                ,03 THREE FAMILY HOMES   ,4,"$460,000 ","$625,000 ","$595,000 ","$850,000 "
FORT GREENE              ,01 ONE FAMILY HOMES     ,5,"$600,000 ","$1,831,500 ","$1,862,500 ","$2,550,000 "
FORT GREENE              ,02 TWO FAMILY HOMES     ,20,"$462,000 ","$2,018,375 ","$1,850,000 ","$3,750,000 "
FORT GREENE              ,03 THREE FAMILY HOMES   ,20,"$445,000 ","$1,442,433 ","$1,495,000 ","$2,750,000 "
GERRITSEN BEACH          ,01 ONE FAMILY HOMES     ,35,"$200,500 ","$376,822 ","$355,000 ","$869,000 "
GERRITSEN BEACH          ,02 TWO FAMILY HOMES     ,5,"$250,000 ","$351,250 ","$415,000 ","$426,250 "
GOWANUS                  ,01 ONE FAMILY HOMES     ,4,"$320,000 ","$767,500 ","$762,500 ","$1,225,000 "
GOWANUS                  ,02 TWO FAMILY HOMES     ,21,"$700,000 ","$1,418,727 ","$1,425,000 ","$2,600,000 "
GOWANUS                  ,03 THREE FAMILY HOMES   ,9,"$500,000 ","$1,213,944 ","$1,330,000 ","$2,055,500 "
GRAVESEND                ,01 ONE FAMILY HOMES     ,67,"$200,000 ","$568,251 ","$555,000 ","$1,400,000 "
GRAVESEND                ,02 TWO FAMILY HOMES     ,133,"$202,800 ","$677,190 ","$670,000 ","$1,300,000 "
GRAVESEND                ,03 THREE FAMILY HOMES   ,38,"$250,000 ","$842,722 ","$867,500 ","$1,325,000 "
GREENPOINT               ,01 ONE FAMILY HOMES     ,4,"$343,000 ","$704,500 ","$687,500 ","$1,100,000 "
GREENPOINT               ,02 TWO FAMILY HOMES     ,33,"$245,000 ","$1,070,842 ","$990,000 ","$3,740,000 "
GREENPOINT               ,03 THREE FAMILY HOMES   ,28,"$215,000 ","$1,016,307 ","$992,000 ","$1,630,000 "
KENSINGTON               ,01 ONE FAMILY HOMES     ,12,"$400,000 ","$790,667 ","$830,000 ","$1,050,000 "
KENSINGTON               ,02 TWO FAMILY HOMES     ,14,"$261,000 ","$694,786 ","$731,000 ","$995,000 "
KENSINGTON               ,03 THREE FAMILY HOMES   ,6,"$205,000 ","$709,167 ","$845,000 ","$1,050,000 "
MADISON                  ,01 ONE FAMILY HOMES     ,95,"$210,000 ","$704,845 ","$646,000 ","$1,560,000 "
MADISON                  ,02 TWO FAMILY HOMES     ,47,"$250,000 ","$713,447 ","$730,000 ","$1,100,000 "
MADISON                  ,03 THREE FAMILY HOMES   ,8,"$565,000 ","$799,375 ","$765,000 ","$1,300,000 "
MANHATTAN BEACH          ,01 ONE FAMILY HOMES     ,33,"$390,000 ","$886,022 ","$800,000 ","$1,980,000 "
MANHATTAN BEACH          ,02 TWO FAMILY HOMES     ,11,"$600,000 ","$851,136 ","$755,000 ","$1,460,000 "
MANHATTAN BEACH          ,03 THREE FAMILY HOMES   ,1,"$1,200,000 ","$1,200,000 ","$1,200,000 ","$1,200,000 "
MARINE PARK              ,01 ONE FAMILY HOMES     ,127,"$250,000 ","$462,161 ","$460,000 ","$760,000 "
MARINE PARK              ,02 TWO FAMILY HOMES     ,47,"$232,650 ","$506,338 ","$506,000 ","$897,251 "
MARINE PARK              ,03 THREE FAMILY HOMES   ,5,"$550,000 ","$645,000 ","$650,000 ","$700,000 "
MIDWOOD                  ,01 ONE FAMILY HOMES     ,99,"$200,000 ","$806,037 ","$675,000 ","$2,775,500 "
MIDWOOD                  ,02 TWO FAMILY HOMES     ,58,"$218,000 ","$696,175 ","$657,750 ","$1,700,000 "
MIDWOOD                  ,03 THREE FAMILY HOMES   ,15,"$260,000 ","$751,833 ","$750,000 ","$1,200,000 "
MILL BASIN               ,01 ONE FAMILY HOMES     ,38,"$375,000 ","$861,666 ","$862,500 ","$1,550,000 "
MILL BASIN               ,02 TWO FAMILY HOMES     ,15,"$330,000 ","$696,230 ","$700,000 ","$900,000 "
MILL BASIN               ,03 THREE FAMILY HOMES   ,1,"$512,500 ","$512,500 ","$512,500 ","$512,500 "
NAVY YARD                ,02 TWO FAMILY HOMES     ,3,"$247,000 ","$864,833 ","$997,500 ","$1,350,000 "
NAVY YARD                ,03 THREE FAMILY HOMES   ,5,"$380,000 ","$600,600 ","$540,000 ","$800,000 "
OCEAN HILL               ,01 ONE FAMILY HOMES     ,13,"$220,000 ","$383,231 ","$325,000 ","$630,000 "
OCEAN HILL               ,02 TWO FAMILY HOMES     ,131,"$200,000 ","$462,320 ","$456,000 ","$1,310,000 "
OCEAN HILL               ,03 THREE FAMILY HOMES   ,59,"$205,000 ","$440,935 ","$410,000 ","$798,000 "
OCEAN PARKWAY-NORTH      ,01 ONE FAMILY HOMES     ,70,"$250,000 ","$903,627 ","$725,000 ","$5,320,000 "
