NEW YORK CITY DEPARTMENT OF FINANCE,,,,,,
"Sales of 1, 2, and 3 Family Homes in Brooklyn in 2012",,,,,,
,,,,,,
NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
BOERUM HILL              ,01 ONE FAMILY HOMES     ,3,"$300,000 ","$1,285,000 ","$1,205,000 ","$2,350,000 "
BOERUM HILL              ,02 TWO FAMILY HOMES     ,18,"$850,000 ","$1,757,756 ","$1,572,500 ","$3,900,000 "
BOERUM HILL              ,03 THREE FAMILY HOMES   ,8,"$900,000 ","$1,775,000 ","$1,795,000 ","$2,550,000 "
BOROUGH PARK             ,01 ONE FAMILY HOMES     ,53,"$250,000 ","$742,543 ","$650,000 ","$1,584,000 "
BOROUGH PARK             ,02 TWO FAMILY HOMES     ,160,"$200,000 ","$766,251 ","$750,000 ","$1,895,000 "
BOROUGH PARK             ,03 THREE FAMILY HOMES   ,65,"$275,000 ","$880,876 ","$860,000 ","$1,900,000 "
BRIGHTON BEACH           ,01 ONE FAMILY HOMES     ,4,"$200,000 ","$300,000 ","$310,000 ","$380,000 "
BRIGHTON BEACH           ,02 TWO FAMILY HOMES     ,7,"$450,000 ","$673,731 ","$540,000 ","$1,275,000 "
BRIGHTON BEACH           ,03 THREE FAMILY HOMES   ,5,"$300,000 ","$819,205 ","$530,000 ","$2,241,024 "
BROOKLYN HEIGHTS         ,01 ONE FAMILY HOMES     ,12,"$885,000 ","$4,358,125 ","$3,618,750 ","$11,000,000 "
BROOKLYN HEIGHTS         ,02 TWO FAMILY HOMES     ,7,"$2,999,000 ","$3,860,571 ","$3,300,000 ","$5,250,000 "
BROOKLYN HEIGHTS         ,03 THREE FAMILY HOMES   ,3,"$2,475,000 ","$7,575,000 ","$7,750,000 ","$12,500,000 "
BROOKLYN-UNKNOWN         ,01 ONE FAMILY HOMES     ,1,"$1,875,000 ","$1,875,000 ","$1,875,000 ","$1,875,000 "
BROOKLYN-UNKNOWN         ,02 TWO FAMILY HOMES     ,3,"$290,000 ","$1,791,676 ","$985,029 ","$4,100,000 "
BROWNSVILLE              ,01 ONE FAMILY HOMES     ,11,"$225,000 ","$274,577 ","$285,000 ","$305,000 "
BROWNSVILLE              ,02 TWO FAMILY HOMES     ,24,"$200,000 ","$368,604 ","$381,250 ","$534,836 "
BROWNSVILLE              ,03 THREE FAMILY HOMES   ,3,"$240,000 ","$336,667 ","$375,000 ","$395,000 "
BUSH TERMINAL            ,02 TWO FAMILY HOMES     ,5,"$300,000 ","$448,000 ","$430,000 ","$620,000 "
BUSH TERMINAL            ,03 THREE FAMILY HOMES   ,2,"$513,800 ","$534,400 ","$534,400 ","$555,000 "
BUSHWICK                 ,01 ONE FAMILY HOMES     ,12,"$200,000 ","$450,696 ","$383,667 ","$995,000 "
BUSHWICK                 ,02 TWO FAMILY HOMES     ,158,"$200,000 ","$425,919 ","$447,500 ","$875,000 "
BUSHWICK                 ,03 THREE FAMILY HOMES   ,97,"$200,000 ","$430,669 ","$420,000 ","$810,363 "
CANARSIE                 ,01 ONE FAMILY HOMES     ,63,"$200,000 ","$341,360 ","$350,871 ","$575,000 "
CANARSIE                 ,02 TWO FAMILY HOMES     ,167,"$200,000 ","$434,425 ","$440,000 ","$1,350,000 "
CANARSIE                 ,03 THREE FAMILY HOMES   ,19,"$200,000 ","$488,025 ","$505,000 ","$663,200 "
CARROLL GARDENS          ,01 ONE FAMILY HOMES     ,3,"$2,010,000 ","$2,418,333 ","$2,200,000 ","$3,045,000 "
CARROLL GARDENS          ,02 TWO FAMILY HOMES     ,19,"$440,000 ","$1,753,079 ","$1,710,000 ","$3,475,000 "
CARROLL GARDENS          ,03 THREE FAMILY HOMES   ,22,"$426,250 ","$1,716,830 ","$1,580,000 ","$4,025,000 "
CLINTON HILL             ,01 ONE FAMILY HOMES     ,8,"$450,000 ","$1,022,938 ","$791,750 ","$2,026,000 "
CLINTON HILL             ,02 TWO FAMILY HOMES     ,23,"$250,000 ","$1,283,862 ","$1,325,000 ","$3,000,000 "
CLINTON HILL             ,03 THREE FAMILY HOMES   ,17,"$426,000 ","$1,094,441 ","$1,075,000 ","$2,020,000 "
COBBLE HILL              ,01 ONE FAMILY HOMES     ,6,"$1,300,000 ","$2,269,167 ","$2,382,500 ","$3,300,000 "
COBBLE HILL              ,02 TWO FAMILY HOMES     ,8,"$1,162,500 ","$2,263,438 ","$2,475,000 ","$3,275,000 "
COBBLE HILL              ,03 THREE FAMILY HOMES   ,5,"$611,400 ","$2,369,480 ","$2,100,000 ","$3,700,000 "
COBBLE HILL-WEST         ,01 ONE FAMILY HOMES     ,1,"$1,520,000 ","$1,520,000 ","$1,520,000 ","$1,520,000 "
COBBLE HILL-WEST         ,02 TWO FAMILY HOMES     ,1,"$315,000 ","$315,000 ","$315,000 ","$315,000 "
COBBLE HILL-WEST         ,03 THREE FAMILY HOMES   ,1,"$1,275,000 ","$1,275,000 ","$1,275,000 ","$1,275,000 "
CONEY ISLAND             ,01 ONE FAMILY HOMES     ,10,"$210,000 ","$347,500 ","$374,000 ","$427,000 "
CONEY ISLAND             ,02 TWO FAMILY HOMES     ,2,"$480,000 ","$535,103 ","$535,103 ","$590,206 "
CONEY ISLAND             ,03 THREE FAMILY HOMES   ,1,"$620,000 ","$620,000 ","$620,000 ","$620,000 "
CROWN HEIGHTS            ,01 ONE FAMILY HOMES     ,33,"$200,000 ","$516,933 ","$442,000 ","$1,300,000 "
CROWN HEIGHTS            ,02 TWO FAMILY HOMES     ,102,"$200,000 ","$538,067 ","$538,000 ","$1,400,000 "
CROWN HEIGHTS            ,03 THREE FAMILY HOMES   ,45,"$237,500 ","$647,957 ","$550,800 ","$2,260,000 "
CYPRESS HILLS            ,01 ONE FAMILY HOMES     ,16,"$200,000 ","$299,219 ","$299,500 ","$465,000 "
CYPRESS HILLS            ,02 TWO FAMILY HOMES     ,94,"$200,000 ","$373,175 ","$360,500 ","$624,750 "
CYPRESS HILLS            ,03 THREE FAMILY HOMES   ,32,"$200,000 ","$364,872 ","$388,500 ","$515,000 "
DOWNTOWN-FULTON MALL     ,01 ONE FAMILY HOMES     ,1,"$3,300,000 ","$3,300,000 ","$3,300,000 ","$3,300,000 "
DOWNTOWN-METROTECH       ,02 TWO FAMILY HOMES     ,1,"$2,150,000 ","$2,150,000 ","$2,150,000 ","$2,150,000 "
DYKER HEIGHTS            ,01 ONE FAMILY HOMES     ,69,"$250,000 ","$658,722 ","$630,000 ","$1,840,000 "
DYKER HEIGHTS            ,02 TWO FAMILY HOMES     ,73,"$200,000 ","$730,439 ","$725,000 ","$1,800,000 "
DYKER HEIGHTS            ,03 THREE FAMILY HOMES   ,17,"$495,000 ","$807,412 ","$750,000 ","$1,270,000 "
EAST NEW YORK            ,01 ONE FAMILY HOMES     ,36,"$207,000 ","$299,541 ","$285,000 ","$589,000 "
EAST NEW YORK            ,02 TWO FAMILY HOMES     ,146,"$200,000 ","$354,809 ","$337,787 ","$620,550 "
EAST NEW YORK            ,03 THREE FAMILY HOMES   ,58,"$200,000 ","$350,544 ","$330,000 ","$828,551 "
FLATBUSH-CENTRAL         ,01 ONE FAMILY HOMES     ,54,"$218,000 ","$924,844 ","$882,500 ","$1,800,000 "
FLATBUSH-CENTRAL         ,02 TWO FAMILY HOMES     ,53,"$235,000 ","$585,544 ","$487,000 ","$1,525,000 "
FLATBUSH-CENTRAL         ,03 THREE FAMILY HOMES   ,11,"$200,000 ","$429,318 ","$385,000 ","$975,000 "
FLATBUSH-EAST            ,01 ONE FAMILY HOMES     ,114,"$200,000 ","$369,369 ","$356,500 ","$850,000 "
FLATBUSH-EAST            ,02 TWO FAMILY HOMES     ,89,"$200,000 ","$399,214 ","$399,000 ","$760,000 "
FLATBUSH-EAST            ,03 THREE FAMILY HOMES   ,29,"$225,000 ","$435,037 ","$450,000 ","$720,000 "
FLATBUSH-LEFFERTS GARDEN ,01 ONE FAMILY HOMES     ,22,"$340,000 ","$922,236 ","$910,000 ","$1,650,000 "
FLATBUSH-LEFFERTS GARDEN ,02 TWO FAMILY HOMES     ,13,"$251,000 ","$537,150 ","$549,000 ","$959,000 "
FLATBUSH-LEFFERTS GARDEN ,03 THREE FAMILY HOMES   ,5,"$360,000 ","$515,000 ","$570,000 ","$640,000 "
FLATBUSH-NORTH           ,01 ONE FAMILY HOMES     ,17,"$200,000 ","$313,791 ","$320,000 ","$390,000 "
FLATBUSH-NORTH           ,02 TWO FAMILY HOMES     ,40,"$200,000 ","$387,354 ","$363,670 ","$840,000 "
FLATBUSH-NORTH           ,03 THREE FAMILY HOMES   ,14,"$280,000 ","$521,596 ","$470,000 ","$999,995 "
FLATLANDS                ,01 ONE FAMILY HOMES     ,28,"$225,000 ","$367,396 ","$382,500 ","$460,000 "
FLATLANDS                ,02 TWO FAMILY HOMES     ,28,"$225,000 ","$433,417 ","$460,000 ","$616,220 "
FLATLANDS                ,03 THREE FAMILY HOMES   ,1,"$553,000 ","$553,000 ","$553,000 ","$553,000 "
FORT GREENE              ,01 ONE FAMILY HOMES     ,1,"$2,350,000 ","$2,350,000 ","$2,350,000 ","$2,350,000 "
FORT GREENE              ,02 TWO FAMILY HOMES     ,21,"$320,000 ","$1,629,810 ","$1,520,000 ","$3,285,000 "
FORT GREENE              ,03 THREE FAMILY HOMES   ,6,"$263,000 ","$1,460,167 ","$1,500,000 ","$2,180,000 "
GERRITSEN BEACH          ,01 ONE FAMILY HOMES     ,42,"$200,000 ","$389,931 ","$377,368 ","$830,000 "
GERRITSEN BEACH          ,02 TWO FAMILY HOMES     ,7,"$310,000 ","$432,393 ","$435,000 ","$599,000 "
GOWANUS                  ,01 ONE FAMILY HOMES     ,10,"$340,000 ","$740,900 ","$769,500 ","$1,180,000 "
GOWANUS                  ,02 TWO FAMILY HOMES     ,24,"$534,000 ","$1,145,917 ","$999,000 ","$2,500,000 "
GOWANUS                  ,03 THREE FAMILY HOMES   ,14,"$342,500 ","$833,726 ","$745,000 ","$1,420,000 "
GRAVESEND                ,01 ONE FAMILY HOMES     ,53,"$270,000 ","$513,081 ","$520,000 ","$810,000 "
GRAVESEND                ,02 TWO FAMILY HOMES     ,105,"$200,000 ","$644,677 ","$650,000 ","$1,300,000 "
GRAVESEND                ,03 THREE FAMILY HOMES   ,33,"$575,000 ","$901,561 ","$875,000 ","$1,450,000 "
GREENPOINT               ,01 ONE FAMILY HOMES     ,2,"$655,000 ","$690,000 ","$690,000 ","$725,000 "
GREENPOINT               ,02 TWO FAMILY HOMES     ,50,"$270,000 ","$837,406 ","$782,500 ","$1,850,000 "
GREENPOINT               ,03 THREE FAMILY HOMES   ,19,"$302,000 ","$934,000 ","$815,000 ","$2,499,000 "
KENSINGTON               ,01 ONE FAMILY HOMES     ,6,"$202,800 ","$534,300 ","$607,000 ","$850,000 "
KENSINGTON               ,02 TWO FAMILY HOMES     ,20,"$250,000 ","$699,279 ","$665,000 ","$1,500,000 "
MADISON                  ,01 ONE FAMILY HOMES     ,73,"$200,000 ","$602,405 ","$555,000 ","$2,200,000 "
MADISON                  ,02 TWO FAMILY HOMES     ,33,"$250,000 ","$711,421 ","$600,000 ","$1,745,000 "
MADISON                  ,03 THREE FAMILY HOMES   ,1,"$938,000 ","$938,000 ","$938,000 ","$938,000 "
MANHATTAN BEACH          ,01 ONE FAMILY HOMES     ,17,"$275,000 ","$1,088,066 ","$855,000 ","$2,900,000 "
MANHATTAN BEACH          ,02 TWO FAMILY HOMES     ,8,"$900,000 ","$1,098,250 ","$995,000 ","$1,700,000 "
MANHATTAN BEACH          ,03 THREE FAMILY HOMES   ,1,"$1,500,000 ","$1,500,000 ","$1,500,000 ","$1,500,000 "
MARINE PARK              ,01 ONE FAMILY HOMES     ,101,"$200,000 ","$480,655 ","$463,000 ","$940,000 "
MARINE PARK              ,02 TWO FAMILY HOMES     ,44,"$222,500 ","$506,955 ","$507,500 ","$740,000 "
MARINE PARK              ,03 THREE FAMILY HOMES   ,5,"$550,000 ","$641,040 ","$625,000 ","$775,000 "
MIDWOOD                  ,01 ONE FAMILY HOMES     ,89,"$212,000 ","$814,003 ","$663,800 ","$3,400,500 "
MIDWOOD                  ,02 TWO FAMILY HOMES     ,51,"$201,000 ","$622,757 ","$620,000 ","$1,385,500 "
MIDWOOD                  ,03 THREE FAMILY HOMES   ,5,"$240,000 ","$526,000 ","$390,000 ","$925,000 "
MILL BASIN               ,01 ONE FAMILY HOMES     ,26,"$385,000 ","$817,981 ","$825,000 ","$1,350,000 "
MILL BASIN               ,02 TWO FAMILY HOMES     ,12,"$200,000 ","$580,167 ","$603,000 ","$797,000 "
NAVY YARD                ,01 ONE FAMILY HOMES     ,1,"$715,000 ","$715,000 ","$715,000 ","$715,000 "
NAVY YARD                ,02 TWO FAMILY HOMES     ,3,"$485,000 ","$625,000 ","$650,000 ","$740,000 "
NAVY YARD                ,03 THREE FAMILY HOMES   ,2,"$255,000 ","$317,500 ","$317,500 ","$380,000 "
OCEAN HILL               ,01 ONE FAMILY HOMES     ,5,"$242,500 ","$322,030 ","$280,000 ","$447,193 "
OCEAN HILL               ,02 TWO FAMILY HOMES     ,89,"$200,000 ","$431,484 ","$424,000 ","$1,728,221 "
OCEAN HILL               ,03 THREE FAMILY HOMES   ,56,"$200,000 ","$475,968 ","$483,750 ","$873,600 "
OCEAN PARKWAY-NORTH      ,01 ONE FAMILY HOMES     ,76,"$210,000 ","$1,023,253 ","$712,500 ","$4,200,000 "
OCEAN PARKWAY-NORTH      ,02 TWO FAMILY HOMES     ,70,"$243,000 ","$841,377 ","$729,000 ","$3,025,000 "
OCEAN PARKWAY-NORTH      ,03 THREE FAMILY HOMES   ,10,"$610,000 ","$835,000 ","$755,000 ","$1,745,000 "
OCEAN PARKWAY-SOUTH      ,01 ONE FAMILY HOMES     ,29,"$280,000 ","$1,454,550 ","$690,000 ","$6,052,000 "
OCEAN PARKWAY-SOUTH      ,02 TWO FAMILY HOMES     ,47,"$275,000 ","$830,212 ","$670,000 ","$3,000,000 "
OCEAN PARKWAY-SOUTH      ,03 THREE FAMILY HOMES   ,11,"$650,000 ","$827,773 ","$800,000 ","$1,137,000 "
OLD MILL BASIN           ,01 ONE FAMILY HOMES     ,61,"$200,000 ","$360,069 ","$355,000 ","$740,000 "
OLD MILL BASIN           ,02 TWO FAMILY HOMES     ,29,"$225,000 ","$408,615 ","$425,000 ","$630,000 "
OLD MILL BASIN           ,03 THREE FAMILY HOMES   ,3,"$582,000 ","$614,000 ","$610,000 ","$650,000 "
PARK SLOPE               ,01 ONE FAMILY HOMES     ,11,"$1,403,000 ","$2,655,550 ","$2,482,000 ","$5,203,550 "
PARK SLOPE               ,02 TWO FAMILY HOMES     ,59,"$295,423 ","$2,046,836 ","$2,050,913 ","$4,000,000 "
PARK SLOPE               ,03 THREE FAMILY HOMES   ,34,"$300,000 ","$1,929,274 ","$1,860,000 ","$3,575,000 "
PARK SLOPE SOUTH         ,01 ONE FAMILY HOMES     ,5,"$605,000 ","$875,000 ","$795,000 ","$1,350,000 "
PARK SLOPE SOUTH         ,02 TWO FAMILY HOMES     ,32,"$420,000 ","$1,148,250 ","$1,102,500 ","$2,050,000 "
PARK SLOPE SOUTH         ,03 THREE FAMILY HOMES   ,7,"$645,000 ","$1,260,714 ","$1,375,000 ","$1,600,000 "
PROSPECT HEIGHTS         ,01 ONE FAMILY HOMES     ,2,"$1,925,000 ","$2,145,000 ","$2,145,000 ","$2,365,000 "
PROSPECT HEIGHTS         ,02 TWO FAMILY HOMES     ,14,"$850,000 ","$1,600,116 ","$1,518,750 ","$2,975,000 "
PROSPECT HEIGHTS         ,03 THREE FAMILY HOMES   ,4,"$890,968 ","$1,337,742 ","$1,355,000 ","$1,750,000 "
RED HOOK                 ,01 ONE FAMILY HOMES     ,6,"$425,000 ","$822,500 ","$745,000 ","$1,550,000 "
RED HOOK                 ,02 TWO FAMILY HOMES     ,7,"$300,000 ","$889,159 ","$791,115 ","$1,238,000 "
RED HOOK                 ,03 THREE FAMILY HOMES   ,8,"$275,000 ","$578,125 ","$545,000 ","$970,000 "
SEAGATE                  ,01 ONE FAMILY HOMES     ,9,"$225,000 ","$595,596 ","$630,000 ","$830,000 "
SEAGATE                  ,02 TWO FAMILY HOMES     ,6,"$390,000 ","$545,083 ","$509,975 ","$785,550 "
SHEEPSHEAD BAY           ,01 ONE FAMILY HOMES     ,58,"$200,000 ","$499,950 ","$507,450 ","$1,200,000 "
SHEEPSHEAD BAY           ,02 TWO FAMILY HOMES     ,80,"$218,000 ","$566,043 ","$580,000 ","$960,000 "
SHEEPSHEAD BAY           ,03 THREE FAMILY HOMES   ,22,"$356,387 ","$719,597 ","$717,500 ","$1,230,000 "
SPRING CREEK             ,02 TWO FAMILY HOMES     ,27,"$335,560 ","$416,479 ","$419,656 ","$419,656 "
SUNSET PARK              ,01 ONE FAMILY HOMES     ,17,"$285,500 ","$467,676 ","$430,000 ","$790,000 "
SUNSET PARK              ,02 TWO FAMILY HOMES     ,119,"$216,000 ","$777,215 ","$770,000 ","$2,000,000 "
SUNSET PARK              ,03 THREE FAMILY HOMES   ,45,"$200,000 ","$725,367 ","$719,000 ","$1,101,000 "
WILLIAMSBURG-CENTRAL     ,01 ONE FAMILY HOMES     ,1,"$900,000 ","$900,000 ","$900,000 ","$900,000 "
WILLIAMSBURG-CENTRAL     ,02 TWO FAMILY HOMES     ,6,"$300,000 ","$709,781 ","$761,844 ","$975,000 "
WILLIAMSBURG-CENTRAL     ,03 THREE FAMILY HOMES   ,6,"$274,500 ","$673,083 ","$474,500 ","$1,550,000 "
WILLIAMSBURG-EAST        ,01 ONE FAMILY HOMES     ,12,"$250,000 ","$659,500 ","$645,000 ","$999,000 "
WILLIAMSBURG-EAST        ,02 TWO FAMILY HOMES     ,25,"$200,000 ","$776,860 ","$665,000 ","$1,950,000 "
WILLIAMSBURG-EAST        ,03 THREE FAMILY HOMES   ,11,"$420,000 ","$901,045 ","$950,000 ","$1,340,000 "
WILLIAMSBURG-NORTH       ,01 ONE FAMILY HOMES     ,3,"$1,295,000 ","$2,073,333 ","$2,025,000 ","$2,900,000 "
WILLIAMSBURG-NORTH       ,02 TWO FAMILY HOMES     ,7,"$800,000 ","$1,310,000 ","$1,000,000 ","$2,850,000 "
WILLIAMSBURG-NORTH       ,03 THREE FAMILY HOMES   ,11,"$800,000 ","$1,393,818 ","$1,400,000 ","$2,100,000 "
WILLIAMSBURG-SOUTH       ,01 ONE FAMILY HOMES     ,2,"$710,000 ","$955,000 ","$955,000 ","$1,200,000 "
WILLIAMSBURG-SOUTH       ,02 TWO FAMILY HOMES     ,1,"$860,000 ","$860,000 ","$860,000 ","$860,000 "
WINDSOR TERRACE          ,01 ONE FAMILY HOMES     ,9,"$625,000 ","$976,667 ","$899,000 ","$1,425,000 "
WINDSOR TERRACE          ,02 TWO FAMILY HOMES     ,34,"$325,000 ","$975,382 ","$895,000 ","$1,690,000 "
WINDSOR TERRACE          ,03 THREE FAMILY HOMES   ,8,"$950,000 ","$1,240,500 ","$1,200,000 ","$1,625,000 "
WYCKOFF HEIGHTS          ,01 ONE FAMILY HOMES     ,3,"$419,000 ","$433,000 ","$425,000 ","$455,000 "
WYCKOFF HEIGHTS          ,02 TWO FAMILY HOMES     ,9,"$345,000 ","$463,883 ","$475,000 ","$600,000 "
WYCKOFF HEIGHTS          ,03 THREE FAMILY HOMES   ,4,"$385,000 ","$471,250 ","$465,000 ","$570,000 "
